TC-C4203

VEHICLE
NUMBER     CAPACITY
   100     138

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0        0        0        0             0        1000               0
        1       17       54        4           424         726               5
        2       17       63        7           430         710               5
        3       34       83        1           311         579               5
        4       13       38        3           102         382               5
        5       37       43       10           439         721               5
        6       19       57       10           119         462               5
        7       23       60        4           338         597               5
        8       17       54        1           110         325               5
        9       14       37        8           487         875               5
       10       60       30        3           323         566               5
       11       70       30        3           455         822               5
       12       29       33        8           188         518               5
       13       16       36        5           483         766               5
       14       12       48        2           480         798               5
       15       11       42        8            47         391               5
       16        6       52        2           343         644               5
       17       94       10        3           334         722               5
       18       33       10        9           360         716               5
       19       25       55        1            27         343               5
       20        0       95       10            64         283               5
       21       17       56        7           459         818               5
       22       17       56        5           140         369               5
       23       23       46        5           262         631               5
       24       13       38        6           446         833               5
       25       24       60       10            68         338               5
       26       15       44        7            21         243               5
       27       11       59        5             6         217               5
       28       16       53        7            53         274               5
       29       13       38        8           411         690               5
       30       68       26        2           295         530               5
       31       60       20        2           263         595               5
       32       13       38        7           457         715               5
       33        9       52        5           146         421               5
       34       13       38        9           232         586               5
       35        7       47        7           496         710               5
       36       13       36        7            41         265               5
       37       62       38        8           216         514               5
       38        6       25        2           282         543               5
       39       17       44        7            25         271               5
       40       15       38        5           131         498               5
       41       22       60        1           292         552               5
       42       22       72        9           314         627               5
       43       53       38        5           275         483               5
       44       17       30        2           154         463               5
       45       44       26        7            20         390               5
       46       82       30       10           467         834               5
       47       68       26        7           151         542               5
       48       68       83       10           354         671               5
       49       15       55        1           223         548               5
       50       11       43        4            49         405               5
       51       13       36        5           413         689               5
       52       26       53        9            14         229               5
       53       10       53        8           445         798               5
       54       13       38        8           116         349               5
       55       22       40        8           346         551               5
       56       13       57       10           419         722               5
       57       97       84        1           401         783               5
       58       17       55        5           121         452               5
       59       20       45        5            92         454               5
       60       10       58       10           348         727               5
       61       11       49        2           165         561               5
       62        7       43        6           186         448               5
       63       77       43        9           411         742               5
       64       22       60        5           163         439               5
       65       16       24        6           127         472               5
       66       16       43        5           294         605               5
       67       57      100        6           406         761               5
       68       27       62        9           389         606               5
       69       18       55        1           316         674               5
       70       17       60       10           408         768               5
       71       67       18        8           283         631               5
       72       20       65        6            64         359               5
       73       95       12       10           212         530               5
       74       50       25        1           414         758               5
       75        9       36        6           437         795               5
       76       44       50        1           130         440               5
       77       82       18        4            61         419               5
       78       30       67        4           113         434               5
       79       30       13        8           278         478               5
       80       22       48        4           249         453               5
       81       63       27        5            54         378               5
       82       17       59        8           195         581               5
       83       33       62        4            40         396               5
       84       38       19        3           140         441               5
       85       75       35        7           188         402               5
       86       26       55        9           113         459               5
       87       11       38       10           349         687               5
       88        2       23        1           129         524               5
       89       99       88        6           160         508               5
       90       79       76        4           364         666               5
       91       93       89        9           251         546               5
       92       21       32       10            41         298               5
       93        6       36        9           278         507               5
       94       87       22        2            21         336               5
       95        4       43        4           271         536               5
       96       54       18        4           131         499               5
       97       45       69        7           277         509               5
       98       28       53        9            20         417               5
       99       34       44        1           298         670               5
      100       11       38        4           476         801               5
