TC-R3991

VEHICLE
NUMBER     CAPACITY
   100     186

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0        0        0        0             0        2000               0
        1       46       48        4           257         338               5
        2       93       73        7          1166        1223               5
        3        3       43        8           832         949               5
        4       42       21        1           231         351               5
        5       13       32       50           802         871               5
        6       13       82        1           806         857               5
        7       96       29        4           260         387               5
        8       90       88        5           658         709               5
        9       18       63        1           754         895               5
       10       35       52       10           791         883               5
       11       98       44        8          1627        1749               5
       12       42       52        3          1405        1499               5
       13       40       70        9           711         822               5
       14       65       49        8           448         503               5
       15       85        7        5           210         327               5
       16       88       82        2           699         776               5
       17       94       45        1           831         916               5
       18       14       48        8           279         418               5
       19       34       78        1           348         430               5
       20       73       67        8           680         771               5
       21       32       86        5           797         922               5
       22       48       84        1            80         182               5
       23       66       29        1           159         268               5
       24       93       62        8           840         910               5
       25       88       55        4           709         762               5
       26       13        5       82           738         834               5
       27       33       38        6           205         292               5
       28        4       71        4           182         314               5
       29       36       24        4           678         772               5
       30       28       96       70           705         784               5
       31       17        0        4           485         601               5
       32       53       36        6           153         260               5
       33        9       50        4           729         869               5
       34       51       15       86           703         802               5
       35       77       20        2           607         690               5
       36        5       98       10           204         303               5
       37       85       12        2           757         811               5
       38       62       34        9           285         347               5
       39        6       40        5           659         778               5
       40       13       77       10           199         302               5
       41       70        0        3           283         373               5
       42       50       31        5           842         985               5
       43        1       48        8          1239        1305               5
       44       44       73        7           809         931               5
       45       21       17       10          1037        1153               5
       46       16       22        3           699         796               5
       47       60       50        6          1412        1553               5
       48       92       22        9           308         370               5
       49       13       67        6          1458        1560               5
       50       30        7        2          1675        1728               5
       51       56       84        5           216         322               5
       52       57       37        5           326         398               5
       53       20       28       63          1390        1528               5
       54        1       90        8           679         819               5
       55       58       86        7           253         373               5
       56       44       59        6           340         399               5
       57       80       24        7           723         837               5
       58       66        2       10          1713        1830               5
       59       81       46        5           775         837               5
       60       29       95        3            37         122               5
       61       26       49        5           689         778               5
       62       12       66       10           839         965               5
       63       65       16        6           717         804               5
       64       51       66       63           714         814               5
       65       95       35        4           666         746               5
       66       24       98        2           424         572               5
       67       46        9        7           312         386               5
       68       80       28        7           227         299               5
       69       13       72        4           254         320               5
       70       50       70        3           828         953               5
       71       88       94        6            82         148               5
       72       54       58        8           707         842               5
       73        3       21       10           850         991               5
       74       57       75        4          1535        1625               5
       75       84       78       81           183         309               5
       76        1        2        5           205         330               5
       77       11       45        8           723         859               5
       78        6        0        8           790         900               5
       79       80       83       10           835         927               5
       80       56       11       88           255         339               5
       81       91       57       10           793         914               5
       82       18       41        4           301         434               5
       83       16       52        7          1057        1113               5
       84       87       52        9           317         403               5
       85       47       14        3           825         936               5
       86       65       62        5           184         334               5
       87       11       58        9           191         276               5
       88       55       32        7           238         331               5
       89       36       79        5           262         325               5
       90       95       44        4          1574        1667               5
       91        3       21        4           203         308               5
       92       91       30       67           786         922               5
       93       58       35        6          1513        1570               5
       94       86        5        1           268         381               5
       95       47       24        2           251         335               5
       96       17       69        8           832         914               5
       97       63       36        2          1630        1761               5
       98       28       40        5           278         336               5
       99       59       11       10           813         933               5
      100       42       91        5           667         749               5
