TC-RC5015

VEHICLE
NUMBER     CAPACITY
   100     602

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0        0        0        0             0        2000               0
        1       49       90       50           731         856               5
        2       80       62       83           176         310               5
        3       43       72       52           769         893               5
        4       61       58       79           739         870               5
        5       57       98       97           157         220               5
        6       82       62       84           168         241               5
        7       59       89       85           289         402               5
        8       89        2       80           779         904               5
        9       69       50       84           106         220               5
       10       63        2       59           638         766               5
       11       48       68       81           264         373               5
       12       16       65       63           248         346               5
       13        3       56       50           736         814               5
       14       85       63       91           784         894               5
       15       61       90       72           275         385               5
       16       59       94       89           150         228               5
       17       58       90       58           800         928               5
       18       12       23       66           846         902               5
       19        7        4       95           321         417               5
       20       46       98       61           785         928               5
       21        2       25       76           177         297               5
       22       59       85       55           656         711               5
       23       64       94       60           584         729               5
       24       71       88       79           302         436               5
       25        2       84       91           890        1020               5
       26       77       52       90          1750        1817               5
       27       64       93       91           261         324               5
       28       44       93       81           286         397               5
       29       89        1       80           339         471               5
       30       33       83       95           332         464               5
       31       56       94       72           765         839               5
       32       57       97       53           311         366               5
       33       44       45       93          1077        1146               5
       34       85       63       57           289         366               5
       35       23       37       52           819         913               5
       36       32       39       59           328         474               5
       37       59      100       95           652         787               5
       38       37       89       63           155         302               5
       39       48       96       97           748         831               5
       40        8       33       99           841         928               5
       41       62       88       86          1203        1348               5
       42       87       25       54           293         403               5
       43        6       37       52           172         271               5
       44       64       87       91           413         535               5
       45       61       96       74          1282        1346               5
       46       35       78       93           179         313               5
       47       13       59       62           425         539               5
       48       58       90       97           809         911               5
       49       66       34       88           350         500               5
       50       88       33      100           202         343               5
       51       72       18       57           215         335               5
       52       54       93       89           833         973               5
       53       68        8       90           733         861               5
       54       80       49       70           165         223               5
       55       64       94       52           277         398               5
       56       34       39       97           721         851               5
       57       54       96       68          1614        1746               5
       58       69       97       64           684         780               5
       59       50       14       54           892         959               5
       60       14       72       69           231         317               5
       61       57       94       68          1526        1661               5
       62       73       26       94           790         854               5
       63       91       48       90            97         224               5
       64       99       46       91           252         355               5
       65       59      100       55             8         139               5
       66       21       13       60           733         872               5
       67       87       25       57           796         936               5
       68       85       93       63           155         219               5
       69       56       98       87           847         906               5
       70       59       95       91           743         864               5
       71       84       69       66           772         881               5
       72       82       45       72           156         227               5
       73       78       63       60           292         401               5
       74       29       32       79          1143        1225               5
       75       62       91       85           686         769               5
       76       18       84       73           253         305               5
       77       78       36       98          1172        1265               5
       78       61       90       66          1028        1110               5
       79       23       18       80           701         808               5
       80       60       91       86           264         381               5
       81        0       25       59           320         421               5
       82       54       96       54           688         760               5
       83       11       96       50           762         876               5
       84       38       54       97           182         291               5
       85       40       76       96           652         765               5
       86       58       93       55           743         807               5
       87       20       28      100           841         903               5
       88       30       71       95           428         492               5
       89       57       93       88           233         359               5
       90       29       84       69           979        1105               5
       91       11       18       93           765         912               5
       92       62       48       96           267         395               5
       93       69       21       50           712         816               5
       94       61       97       76           812         907               5
       95       17        5       58           184         287               5
       96       41       12       51           811         921               5
       97       41       91       78           242         319               5
       98       63      100       52           669         811               5
       99       28       48       77           772         841               5
      100       32       66       84           720         781               5
